,tot_pos,tot_neg,tot_neut,phys_pos,phys_neg,phys_neut,perc_pos,perc_neg,proc_neut,total_class,total,share_phys,share_perc
share_dom_align median,-0.1639868497864906,-0.20424196817303739,0.18098786768228822,-0.19664885442327715,-0.27120089730177555,-0.07372752539662646,-0.1472205436562002,-0.3659137029961593,-0.0023824828759018064,-0.21734445301872765,,-0.18349888364194372,-0.1611077586946853
share_dom_align std,0.12682165007193966,-0.027617257240645395,-0.08628447395543436,0.10039326163082608,0.18989217518625645,-0.02572541016416353,0.3518516315844742,0.17316195547728158,0.04079795277554964,0.13219687375353828,,0.06287608690693305,0.22676440402938375
share_dom_align mean,-0.06349587464231296,0.03930345357649799,-0.0009677656435757771,-0.10780763857438871,-0.18640223860868343,0.05868530101666585,-0.2374332035757546,-0.1839637747278639,-0.024659263652916596,-0.0964352901056908,,-0.041495127284320976,-0.16855142734081774
ACwlC max,-0.16471567294142134,-0.06366563535547895,0.2656879474311512,-0.028331402484538647,0.07741106546435629,0.368319925846377,0.10774103114634496,-0.010029317075522777,0.010675730531286884,0.08392514951468705,,0.2662194950897024,0.05130062442207884
ACwlC min,-0.09899165435386896,0.029783381012043184,-0.10536842277407493,0.014007039951129287,0.0407740058447076,0.1375230136850487,-0.0950173003122046,-0.01241556243534062,-0.22506673776982247,-0.04161041473606825,,0.11031361994488775,-0.2203376159821473
ACwlC median,-0.056174863826578596,-0.10392442701866338,0.17662626732206005,0.026939202426926226,-0.11372802622989436,0.2219890279181679,0.06411654432861864,0.06522410142289416,-0.19693161102100715,-0.02403845696329465,,0.13354663266018307,-0.11034795262701809
ACwlC std,-0.024980644803079377,-0.16507735188355163,0.11437772205331555,0.03711227326907058,-0.11783827084295785,0.07375509411968752,0.1736625953079331,-0.010287320650018947,-0.1428803741271842,-0.02993296290282546,,0.03292523675208236,-0.041551957273136056
ACwlC mean,-0.08894292119072907,-0.12610736177808501,0.18483815257587974,-0.0294720207126447,-0.15907427434562493,0.1654874416206289,0.07269287827953506,0.02909807547270726,-0.22286537807436782,-0.0705831161800836,,0.06468147543364765,-0.13667309186378634
ACN max,,,,,,,,,,,,,
ACN min,0.17426675363783498,-0.03784608148937484,-0.23111257070143243,0.03882540608191025,-0.13489484934572696,-0.2997657357922806,-0.08723545268165092,-0.005375828861277503,-0.004404935884279071,-0.05657315889641235,,-0.2299990022468376,-0.041782500635491236
ACN median,,,,,,,,,,,,,
ACN std,-0.11866249001359462,-0.08318223371423836,0.13988809543914454,-0.09103213101524538,0.09453978541508969,-0.013978044584216481,0.0174202767624113,-0.05930946705543112,-0.09593544686573417,-0.08872553600214295,,-0.014692023981460406,-0.0837362654497663
ACN mean,0.08979988760386831,0.14869076942933865,-0.12457266504934762,0.09590787544293725,-0.03618309509153991,0.14820222039282474,0.022082564876612254,0.10467735061904677,0.10359153178611237,0.15381104390088235,,0.12428713711750722,0.11848294840054249
ACT max,0.10158556660210176,0.06535475494971453,-0.027678976772138097,-0.10187124672633496,0.1364210790104113,-0.11866487351490258,-0.018496064209313923,0.16180927934017938,0.027348676799702123,-0.02197368936260546,,-0.0800777893482164,0.056547876335413895
ACT min,0.1375822669581111,0.008309025952983535,-0.22526844129509957,0.0029168489856465367,-0.12887377274881903,-0.33829742193376433,-0.14364293715477983,-0.022040416810589103,-0.019192885613878982,-0.09918345347624474,,-0.26669475448336916,-0.08167686839492964
ACT median,0.2317577841378358,0.5847584596879748,-0.357160757603251,0.12889926826422807,0.5150513373381772,0.031270387147983664,0.09916226889504147,0.45892781323573983,0.15720924460001284,0.19537457251216908,,0.19468856404089824,0.28709481967505435
ACT std,0.03579251091406131,0.027358602341925005,0.0019472296520152478,-0.02884099824540793,0.19039767110138126,-0.12529682193715275,0.050586120278757474,0.11171262603870585,-0.05475360042607565,-0.06784293614401071,,-0.04747668543533256,0.007973806014106044
ACT mean,0.2208516257272493,0.5368680082429997,-0.3360820312932366,0.1179699360032255,0.4130385105452029,0.036045148182981906,0.07344099128341049,0.4250749886301199,0.1444801983346757,0.18256021502399702,,0.16841500809396667,0.25724222707909394
ACM max,0.10158556660210168,0.06535475494971446,-0.02767897677213802,-0.10187124672633503,0.1364210790104114,-0.11866487351490257,-0.018496064209313958,0.16180927934017944,0.027348676799702078,-0.021973689362605457,,-0.08007778934821641,0.05654787633541384
ACM min,0.1351120148256207,0.011845888739224,-0.2261580149119282,-0.0012147445998429043,-0.1266460506127204,-0.3435334470783479,-0.1520449556922146,-0.023505722737085743,-0.024395027508482242,-0.10675436049431174,,-0.27108122601411083,-0.08970672752453544
ACM median,0.23157853524547276,0.5846997064825357,-0.3569387172453973,0.12849500707760902,0.5159371986755374,0.03028297605212541,0.09910403325616772,0.4589378617977734,0.15688393706734105,0.1946766701059705,,0.194100569804122,0.28681722181497
ACM std,0.11588859272534509,0.1461894299974293,-0.08377692000546987,0.024075770994718436,0.2603350625896469,-0.08209667783487719,0.09201773610587599,0.24070746959655703,-0.008601140723450584,0.007235193494964992,,0.017329304125426485,0.09594850818153842
ACM mean,0.22241834727797094,0.556974590063993,-0.3407182240708026,0.10437644439878427,0.46813601650121067,-0.006496508463560105,0.07324711053839258,0.4441947520912111,0.13442851615588414,0.1585032887221677,,0.1486361583911054,0.2543283121386204
ACw420wlC max,0.1543717582853928,0.1664633331588942,0.0564026172200545,0.12883245398545498,0.272664349537304,0.2737492759215293,0.35103701056722914,0.37726599789916976,-0.12980790074718923,0.11874086564413301,,0.3008987449576647,0.14644432120656525
